path,type,required,array,enum,format,description,mii_module,mii_profile,fhir_element,transform,status,notes
donors[].donorPseudonym,string,yes,yes,,,"A unique identifier given by the Leistungserbringer for each donor of a single, duo or trio sequencing; the donorPseudonym needs to be identifiable by the Leistungserbringer in case of changes to the consents by one of the donors. For Index patient use index.",Person,Patient,Patient,donor = patient; demographics,DRAFT,
donors[].gender,string,yes,yes,"male, female, other, unknown",,Gender of the donor.,Person,Patient,Patient,donor = patient; demographics,DRAFT,
donors[].labData[].barcode,string,yes,yes,,,The barcode used or 'na',Biobank,Specimen,Specimen,lab/specimen metadata; see labData.* sub-rules,DRAFT,
donors[].labData[].enrichmentKitDescription,string,yes,yes,,,Name/version of the enrichment kit,Biobank,Specimen,Specimen,lab/specimen metadata; see labData.* sub-rules,DRAFT,
donors[].labData[].enrichmentKitManufacturer,string,yes,yes,"Illumina, Agilent, Twist, NEB, other, unknown, none",,Manufacturer of the enrichment kit,Biobank,Specimen,Specimen,lab/specimen metadata; see labData.* sub-rules,DRAFT,
donors[].labData[].fragmentationMethod,string,yes,yes,"sonication, enzymatic, none, other, unknown",,Fragmentation method,MolGen,Procedure / Device (sequencing),Procedure.code / Device,fragmentation,DRAFT,
donors[].labData[].kitManufacturer,string,yes,yes,,,Sequencing kit manufacturer,MolGen,Procedure / Device (sequencing),Device.manufacturer,kit manufacturer,DRAFT,
donors[].labData[].kitName,string,yes,yes,,,Name/version of the sequencing kit,MolGen,Procedure / Device (sequencing),Device,sequencing kit,DRAFT,
donors[].labData[].labDataName,string,yes,yes,,,Name/ID of the biospecimen e.g. 'Blut DNA normal',Biobank,Specimen,Specimen,lab/specimen metadata; see labData.* sub-rules,DRAFT,
donors[].labData[].libraryPrepKit,string,yes,yes,,,Name/version of the library prepkit,MolGen,Procedure / Device (sequencing),Device,library prep kit,DRAFT,
donors[].labData[].libraryPrepKitManufacturer,string,yes,yes,,,Library prep kit manufacturer,Biobank,Specimen,Specimen,lab/specimen metadata; see labData.* sub-rules,DRAFT,
donors[].labData[].libraryType,string,yes,yes,"panel, panel_lr, wes, wes_lr, wgs, wgs_lr, wxs, wxs_lr, other, unknown",,Library type,MolGen,Procedure / Device (sequencing),Procedure.code / Device,sequencing prep metadata,DRAFT,
donors[].labData[].sampleConservation,string,yes,yes,"fresh-tissue, cryo-frozen, ffpe, other, unknown",,Sample conservation,Biobank,Specimen,Specimen,lab/specimen metadata; see labData.* sub-rules,DRAFT,
donors[].labData[].sampleDate,string,yes,yes,,date,Date of sample in ISO 8601 format YYYY-MM-DD,Biobank,Specimen,Specimen,lab/specimen metadata; see labData.* sub-rules,DRAFT,
donors[].labData[].sequenceData.bioinformaticsPipelineName,string,yes,yes,,,Name of the bioinformatics pipeline used,MolGen,Observation / DocumentReference,Observation,sequencing run metadata; caller/quality -> MolGen method/device; VERIFY,DRAFT,
donors[].labData[].sequenceData.bioinformaticsPipelineVersion,string,yes,yes,,,Version or commit hash of the bioinformatics pipeline,MolGen,Observation / DocumentReference,Observation,sequencing run metadata; caller/quality -> MolGen method/device; VERIFY,DRAFT,
donors[].labData[].sequenceData.callerUsed[].name,string,yes,yes,,,Name of the caller used,MolGen,Observation / DocumentReference,Observation,sequencing run metadata; caller/quality -> MolGen method/device; VERIFY,DRAFT,
donors[].labData[].sequenceData.callerUsed[].version,string,yes,yes,,,Version of the caller used,MolGen,Observation / DocumentReference,Observation,sequencing run metadata; caller/quality -> MolGen method/device; VERIFY,DRAFT,
donors[].labData[].sequenceData.files[].checksumType,string,no,yes,sha256,,Type of checksum algorithm used,,,,raw sequencing files (FASTQ/BAM/VCF) live in GRZ; not ingested into MII KDS,NOMAP,
donors[].labData[].sequenceData.files[].fileChecksum,string,yes,yes,,,checksum of the file,,,,raw sequencing files (FASTQ/BAM/VCF) live in GRZ; not ingested into MII KDS,NOMAP,
donors[].labData[].sequenceData.files[].filePath,string,yes,yes,,,"Path relative to the submission files directory, e.g.: 'patient_001/patient_001_dna.fastq.gz' if the file is located in <submission root>/files/patient_001/patient_001_dna.fastq.gz",,,,raw sequencing files (FASTQ/BAM/VCF) live in GRZ; not ingested into MII KDS,NOMAP,
donors[].labData[].sequenceData.files[].fileSizeInBytes,number,yes,yes,,,Size of the file in bytes,,,,raw sequencing files (FASTQ/BAM/VCF) live in GRZ; not ingested into MII KDS,NOMAP,
donors[].labData[].sequenceData.files[].fileType,string,yes,yes,"bam, vcf, bed, fastq",,"Type of the file; if BED file is submitted, only 1 file is allowed.",,,,raw sequencing files (FASTQ/BAM/VCF) live in GRZ; not ingested into MII KDS,NOMAP,
donors[].labData[].sequenceData.files[].flowcellId,string,no,yes,,,Indicates the flow cell.,,,,raw sequencing files (FASTQ/BAM/VCF) live in GRZ; not ingested into MII KDS,NOMAP,
donors[].labData[].sequenceData.files[].laneId,string,no,yes,,,Indicates the lane,,,,raw sequencing files (FASTQ/BAM/VCF) live in GRZ; not ingested into MII KDS,NOMAP,
donors[].labData[].sequenceData.files[].readLength,integer,no,yes,,,The read length; in the case of long-read sequencing it is the rounded average read length.,,,,raw sequencing files (FASTQ/BAM/VCF) live in GRZ; not ingested into MII KDS,NOMAP,
donors[].labData[].sequenceData.files[].readOrder,string,no,yes,"R1, R2",,Indicates the read order for paired-end reads.,,,,raw sequencing files (FASTQ/BAM/VCF) live in GRZ; not ingested into MII KDS,NOMAP,
donors[].labData[].sequenceData.meanDepthOfCoverage,number,yes,yes,,,Mean depth of coverage,MolGen,Observation / DocumentReference,Observation,sequencing run metadata; caller/quality -> MolGen method/device; VERIFY,DRAFT,
donors[].labData[].sequenceData.minCoverage,number,yes,yes,,,Minimum coverage,MolGen,Observation / DocumentReference,Observation,sequencing run metadata; caller/quality -> MolGen method/device; VERIFY,DRAFT,
donors[].labData[].sequenceData.nonCodingVariants,boolean,yes,yes,,,The analysis includes non-coding variants -> true or false,MolGen,Observation / DocumentReference,Observation,sequencing run metadata; caller/quality -> MolGen method/device; VERIFY,DRAFT,
donors[].labData[].sequenceData.percentBasesAboveQualityThreshold.minimumQuality,number,yes,yes,,,The minimum quality score threshold,MolGen,Observation / DocumentReference,Observation,sequencing run metadata; caller/quality -> MolGen method/device; VERIFY,DRAFT,
donors[].labData[].sequenceData.percentBasesAboveQualityThreshold.percent,number,yes,yes,,,Percentage of bases that meet or exceed the minimum quality score,MolGen,Observation / DocumentReference,Observation,sequencing run metadata; caller/quality -> MolGen method/device; VERIFY,DRAFT,
donors[].labData[].sequenceData.referenceGenome,string,yes,yes,"GRCh37, GRCh38",,Reference genome used according to the Genome Reference Consortium (https://www.ncbi.nlm.nih.gov/grc),MolGen,Observation (Variante),Observation.component(reference-sequence-assembly),GRCh37/38 genomic build for variant coords,DRAFT,
donors[].labData[].sequenceData.targetedRegionsAboveMinCoverage,number,yes,yes,,,Fraction of targeted regions that are above minimum coverage,MolGen,Observation / DocumentReference,Observation,sequencing run metadata; caller/quality -> MolGen method/device; VERIFY,DRAFT,
donors[].labData[].sequenceSubtype,string,yes,yes,"germline, somatic, other, unknown",,"Subtype of sequence (germline, somatic, etc.)",MolGen,Procedure / Device (sequencing),Procedure.code / Device,germline/somatic,DRAFT,
donors[].labData[].sequenceType,string,yes,yes,"dna, rna",,Type of sequence (DNA or RNA),MolGen,Procedure / Device (sequencing),Procedure.code / Device,DNA/RNA,DRAFT,
donors[].labData[].sequencerManufacturer,string,yes,yes,,,Sequencer manufacturer,MolGen,Procedure / Device (sequencing),Device.manufacturer,sequencer manufacturer,DRAFT,
donors[].labData[].sequencerModel,string,yes,yes,,,Name/version of the sequencer model,MolGen,Procedure / Device (sequencing),Device.deviceName,sequencer model,DRAFT,
donors[].labData[].sequencingLayout,string,yes,yes,"single-end, paired-end, reverse, other",,"The sequencing layout, aka the end type of sequencing.",MolGen,Procedure / Device (sequencing),Procedure.code / Device,single/paired-end,DRAFT,
donors[].labData[].tissueOntology.name,string,yes,yes,,,Name of the tissue ontology,Biobank,Specimen,Specimen.type.coding.system,tissue ontology system (BTO/SNOMED),DRAFT,
donors[].labData[].tissueOntology.version,string,yes,yes,,,Version of the tissue ontology,Biobank,Specimen,Specimen.type.coding.version,tissue ontology version,DRAFT,
donors[].labData[].tissueTypeId,string,yes,yes,,,Tissue ID according to the ontology in use.,Biobank,Specimen,Specimen.type.coding.code,tissue code,DRAFT,
donors[].labData[].tissueTypeName,string,yes,yes,,,Tissue name according to the ontology in use.,Biobank,Specimen,Specimen.type.coding.display,tissue display,DRAFT,
donors[].labData[].tumorCellCount[].count,number,yes,yes,,,Tumor cell count in %,Onkologie,Observation (Tumorzellgehalt),Observation.valueQuantity.value,tumour cell content %; UCUM %,DRAFT,
donors[].labData[].tumorCellCount[].method,string,yes,yes,"pathology, bioinformatics, other, unknown",,Method used to determine cell count.,Onkologie,Observation (Tumorzellgehalt),Observation.method,method CodeableConcept,DRAFT,
donors[].mvConsent.presentationDate,string,no,yes,,date,"Date of delivery. Date (in ISO 8601 format YYYY-MM-DD) on which the Model Project Declaration of Participation was presented to the patient, unless identical to the date of signature",Consent,Consent,Consent (Modellvorhaben),MV participation consent,DRAFT,
donors[].mvConsent.scope[].date,string,yes,yes,,date,Date of signature of the pilot projects consent; in ISO 8601 format YYYY-MM-DD.,Consent,Consent,Consent (Modellvorhaben),MV consent scope,DRAFT,
donors[].mvConsent.scope[].domain,string,yes,yes,"mvSequencing, reIdentification, caseIdentification",,Scope of consent or revocation.,Consent,Consent,Consent (Modellvorhaben),MV consent scope,DRAFT,
donors[].mvConsent.scope[].type,string,yes,yes,"permit, deny",,"Consent or refusal to participate and consent, must be indicated for each option listed in the scope of consent.",Consent,Consent,Consent (Modellvorhaben),MV consent scope,DRAFT,
donors[].mvConsent.version,string,yes,yes,,,"Version of the declaration of participation. Name and version of the declaration of participation in the MV GenomSeq, e.g.: 'Patient Info TE Consent MVGenomSeq vers01'",Consent,Consent,Consent (Modellvorhaben),MV participation consent,DRAFT,
