path,type,required,array,enum,format,description,mii_module,mii_profile,fhir_element,transform,status,notes,reference
case.diagnosisOd.additionalClassification[].key,string,no,yes,,,,Onkologie,,Observation,no exact Weitere-Klassifikationen canonical confirmed; base Observation,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],oBDS-to-FHIR (bzkf)
case.diagnosisOd.additionalClassification[].system,string,no,yes,,,"The classification system used, e.g., 'TNM'.",Onkologie,,Observation,no exact Weitere-Klassifikationen canonical confirmed; base Observation,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],oBDS-to-FHIR (bzkf)
case.diagnosisOd.additionalDiagnoses[].code,string,yes,yes,,,Symbol in syntax defined by the system,Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,Condition.code.coding:icd10-gm.code,"secondary diagnoses; one Condition each, multi-coded",MAPPED,[[mii-diagnose-onkologie]],Diagnose
case.diagnosisOd.additionalDiagnoses[].date,string,yes,yes,,date,"Date of the diagnosis. If the day is unknown, use the 15th of the month.",Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,Condition.recordedDate,"secondary diagnoses; one Condition each, multi-coded",MAPPED,[[mii-diagnose-onkologie]],Diagnose
case.diagnosisOd.additionalDiagnoses[].display,string,no,yes,,,Representation defined by the system,Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,Condition.code.coding:icd10-gm.display,"secondary diagnoses; one Condition each, multi-coded",MAPPED,[[mii-diagnose-onkologie]],Diagnose
case.diagnosisOd.additionalDiagnoses[].system,string,yes,yes,,uri,Identity of the terminology system,Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,Condition.code.coding:icd10-gm.system,"secondary diagnoses; one Condition each, multi-coded",MAPPED,[[mii-diagnose-onkologie]],Diagnose
case.diagnosisOd.additionalDiagnoses[].version,string,yes,yes,,,Version of the system - if relevant,Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,Condition.code.coding:icd10-gm.version,"secondary diagnoses; one Condition each, multi-coded",MAPPED,[[mii-diagnose-onkologie]],Diagnose
case.diagnosisOd.diagnosticAssessment,string,no,no,"noGeneticDiagnosis, suspectedGeneticDiagnosis, furtherGeneticDiagnosticRecommended, confirmedGeneticDiagnosis, partialGeneticDiagnosis",,Evaluation of genetic diagnostics (only for HT).,Onkologie,,Observation.valueCodeableConcept,no MTB/Onko profile found; represent via Condition verification/clinicalStatus or note,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],oBDS-to-FHIR (bzkf)
case.diagnosisOd.ecogPerformanceStatusScore,string,yes,no,"0, 1, 2, 3, 4, 5, unknown, notApplicable",,ECOG Performance Status Score,Onkologie,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-allgemeiner-leistungszustand-ecog,Observation.valueCodeableConcept,"ECOG 0-4 -> mii-pr-onko-allgemeiner-leistungszustand-ecog value; ADDITIONAL VALUES (no ECOG-score equivalent): unknown -> Observation.dataAbsentReason=unknown (omit value); notApplicable -> dataAbsentReason=not-applicable; 5 (=death) not in MII ECOG VS -> derive from vitalStatus, not ECOG (drop with warning)",MAPPED,[[docs/OPEN-ISSUES]] final-review | NUM-OMICS: additional values unknown/notApplicable -> dataAbsentReason; ECOG 5 out of MII VS (see P0-2),mii-pr-onko-allgemeiner-leistungszustand-ecog | DNPM-SE / MII Seltene | FHIR dataAbsentReason VS (unknown/not-applicable); NUM-OMICS/terminology-check (tx.fhir.org verified)
case.diagnosisOd.germlineDiagnoses[].code,string,yes,yes,,,Symbol in syntax defined by the system,Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,Condition.code.coding:icd10-gm.code,hereditary tumour syndrome (ICD-10-GM Z80*/Z85* + SCT); germline route,MAPPED,[[mii-diagnose-onkologie]],Diagnose
case.diagnosisOd.germlineDiagnoses[].display,string,no,yes,,,Representation defined by the system,Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,Condition.code.coding:icd10-gm.display,hereditary tumour syndrome (ICD-10-GM Z80*/Z85* + SCT); germline route,MAPPED,[[mii-diagnose-onkologie]],Diagnose
case.diagnosisOd.germlineDiagnoses[].system,string,yes,yes,,uri,Identity of the terminology system,Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,Condition.code.coding:icd10-gm.system,hereditary tumour syndrome (ICD-10-GM Z80*/Z85* + SCT); germline route,MAPPED,[[mii-diagnose-onkologie]],Diagnose
case.diagnosisOd.germlineDiagnoses[].version,string,yes,yes,,,Version of the system - if relevant,Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,Condition.code.coding:icd10-gm.version,hereditary tumour syndrome (ICD-10-GM Z80*/Z85* + SCT); germline route,MAPPED,[[mii-diagnose-onkologie]],Diagnose
case.diagnosisOd.germlineDiagnosisConfirmed,boolean,yes,no,,,Indicates if a hereditary tumor syndrome diagnosis is confirmed.,Onkologie,,Condition.verificationStatus,hereditary tumour-syndrome as its own (secondary) Condition; verificationStatus=confirmed/unconfirmed from the boolean,MAPPED,"[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | CLIN-REVIEW: (Lucien Clin) I'd say that's wrong: The germline diagnosis ICD-10 codes map to Condition.code. This attribute corresponds to Condition.verificationStatus: https://hl7.org/fhir/condition-definitions.html#Condition.verificationStatus | CLIN-RESOLVE (agree): a boolean 'confirmed' is a verificationStatus, not a valueBoolean Observation; the germline syndrome is a distinct Condition.",oBDS-to-FHIR (bzkf); HL7 FHIR R4 core
case.diagnosisOd.grading,string,no,no,"0, 1, 2, 3, 4, 5, X, L, M, H, B, U, T",,Differentiation grade,Onkologie,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-grading,Observation.valueCodeableConcept,LOINC 33732-9; oBDS Grading OID urn:oid:2.16.840.1.113883.3.7.1.10 or SCT,MAPPED,[[mii-diagnose-onkologie]],mii-pr-onko-grading
case.diagnosisOd.histology.code,string,yes,no,,,Symbol in syntax defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-diagnose-primaertumor,Condition.extension(mii-ex-onko-histology-morphology-behavior-icdo3),ICD-O-3 morphology as Condition extension (obds-to-fhir model); no standalone histology Observation; system http://terminology.hl7.org/CodeSystem/icd-o-3,MAPPED,"[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | CLIN-REVIEW: (Lucien Clin) Why represent this as an extension on Condition, when e.g. TNM-Grading above is represented as an Observation. ICD-O-3-Morphology is also a finding resulting from histology, i.e. Observation. | CLIN-RESOLVE (diverge): MII models ICD-O-3 morphology as Condition.extension(mii-ex-onko-histology-morphology-behavior-icdo3), NOT a standalone Observation. Grading IS a separate Observation but morphology is not - intentional MII asymmetry. Ref: medizininformatik-initiative.de/fhir/ext/modul-onko (mii-ex-onko-histology-morphology-behavior-icdo3) + mii-pr-mtb-diagnose-primaertumor; [[obds-to-fhir/primaerdiagnose-condition]].",mii-pr-mtb-diagnose-primaertumor | oBDS-to-FHIR (bzkf); MII Onko extensions
case.diagnosisOd.histology.display,string,no,no,,,Representation defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-diagnose-primaertumor,Condition.extension(mii-ex-onko-histology-morphology-behavior-icdo3),ICD-O-3 morphology as Condition extension (obds-to-fhir model); no standalone histology Observation; system http://terminology.hl7.org/CodeSystem/icd-o-3,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-diagnose-primaertumor | oBDS-to-FHIR (bzkf)
case.diagnosisOd.histology.system,string,yes,no,,uri,Identity of the terminology system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-diagnose-primaertumor,Condition.extension(mii-ex-onko-histology-morphology-behavior-icdo3),ICD-O-3 morphology as Condition extension (obds-to-fhir model); no standalone histology Observation; system http://terminology.hl7.org/CodeSystem/icd-o-3,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-diagnose-primaertumor | oBDS-to-FHIR (bzkf)
case.diagnosisOd.histology.version,string,yes,no,,,Version of the system - if relevant,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-diagnose-primaertumor,Condition.extension(mii-ex-onko-histology-morphology-behavior-icdo3),ICD-O-3 morphology as Condition extension (obds-to-fhir model); no standalone histology Observation; system http://terminology.hl7.org/CodeSystem/icd-o-3,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-diagnose-primaertumor | oBDS-to-FHIR (bzkf)
case.diagnosisOd.hpoTerms[].code,string,yes,yes,,,Symbol in syntax defined by the system,Seltene,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-hpo-assessment,Observation.code.coding.code,HPO term in Observation.code (NOT value[x]); http://human-phenotype-ontology.org (LOCKED); change->component[status].interpretation newly-added/no-longer-observed,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-seltene-hpo-assessment | oBDS-to-FHIR (bzkf)
case.diagnosisOd.hpoTerms[].display,string,no,yes,,,Representation defined by the system,Seltene,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-hpo-assessment,Observation.code.coding.display,HPO term in Observation.code (NOT value[x]); http://human-phenotype-ontology.org (LOCKED); change->component[status].interpretation newly-added/no-longer-observed,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-seltene-hpo-assessment | oBDS-to-FHIR (bzkf)
case.diagnosisOd.hpoTerms[].system,string,no,yes,,uri,Identity of the terminology system,Seltene,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-hpo-assessment,Observation.code.coding.system,HPO term in Observation.code (NOT value[x]); http://human-phenotype-ontology.org (LOCKED); change->component[status].interpretation newly-added/no-longer-observed,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-seltene-hpo-assessment | oBDS-to-FHIR (bzkf)
