path,type,required,array,enum,format,description,omop_table,omop_field,omop_vocab,omop_transform,status,notes
donors[].donorPseudonym,string,yes,yes,,,"A unique identifier given by the Leistungserbringer for each donor of a single, duo or trio sequencing; the donorPseudonym needs to be identifiable by the Leistungserbringer in case of changes to the consents by one of the donors. For Index patient use index.",person,person_source_value,-,donor pseudonym,MAPPED,
donors[].gender,string,yes,yes,"male, female, other, unknown",,Gender of the donor.,person,gender_concept_id,Gender,donor sex,MAPPED,
donors[].labData[].barcode,string,yes,yes,,,The barcode used or 'na',specimen,specimen.specimen_source_id,sample barcode,,MAPPED,[[knowledge/omop]] research 2026-06-30
donors[].labData[].enrichmentKitDescription,string,yes,yes,,,Name/version of the enrichment kit,,,no OMOP home,GAP,NOMAP,[[knowledge/omop]] research 2026-06-30
donors[].labData[].enrichmentKitManufacturer,string,yes,yes,"Illumina, Agilent, Twist, NEB, other, unknown, none",,Manufacturer of the enrichment kit,,,no OMOP home,GAP,NOMAP,[[knowledge/omop]] research 2026-06-30
donors[].labData[].fragmentationMethod,string,yes,yes,"sonication, enzymatic, none, other, unknown",,Fragmentation method,,,no OMOP home,GAP,NOMAP,[[knowledge/omop]] research 2026-06-30
donors[].labData[].kitManufacturer,string,yes,yes,,,Sequencing kit manufacturer,,,no OMOP home,GAP,NOMAP,[[knowledge/omop]] research 2026-06-30
donors[].labData[].kitName,string,yes,yes,,,Name/version of the sequencing kit,,,device/kit metadata: no OMOP home,GAP,NOMAP,[[knowledge/omop]] research 2026-06-30
donors[].labData[].labDataName,string,yes,yes,,,Name/ID of the biospecimen e.g. 'Blut DNA normal',,,label only,GAP,NOMAP,[[knowledge/omop]] research 2026-06-30
donors[].labData[].libraryPrepKit,string,yes,yes,,,Name/version of the library prepkit,,,no OMOP home,GAP,NOMAP,[[knowledge/omop]] research 2026-06-30
donors[].labData[].libraryPrepKitManufacturer,string,yes,yes,,,Library prep kit manufacturer,,,no OMOP home,GAP,NOMAP,[[knowledge/omop]] research 2026-06-30
donors[].labData[].libraryType,string,yes,yes,"panel, panel_lr, wes, wes_lr, wgs, wgs_lr, wxs, wxs_lr, other, unknown",,Library type,measurement,—,sequencing metadata: no OMOP home,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sampleConservation,string,yes,yes,"fresh-tissue, cryo-frozen, ffpe, other, unknown",,Sample conservation,specimen,specimen.* (preservation),-,fresh/FFPE etc.,MAPPED,
donors[].labData[].sampleDate,string,yes,yes,,date,Date of sample in ISO 8601 format YYYY-MM-DD,specimen,specimen_date,-,collection date,MAPPED,
donors[].labData[].sequenceData.bioinformaticsPipelineName,string,yes,yes,,,Name of the bioinformatics pipeline used,measurement,value_as_number (local),coverage/quality QC: no OMOP home (G-CDM partial),GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
