path,type,required,array,enum,format,description,omop_table,omop_field,omop_vocab,omop_transform,status,notes
case.diagnosisOd.additionalClassification[].key,string,no,yes,,,,,,,,TODO,
case.diagnosisOd.additionalClassification[].system,string,no,yes,,,"The classification system used, e.g., 'TNM'.",,,,,TODO,
case.diagnosisOd.additionalDiagnoses[].code,string,yes,yes,,,Symbol in syntax defined by the system,condition_occurrence,condition_source_concept_id + condition_concept_id,ICD-10-GM -> SNOMED,,DRAFT,
case.diagnosisOd.additionalDiagnoses[].date,string,yes,yes,,date,"Date of the diagnosis. If the day is unknown, use the 15th of the month.",condition_occurrence,condition_source_concept_id + condition_concept_id,ICD-10-GM -> SNOMED,,DRAFT,
case.diagnosisOd.additionalDiagnoses[].display,string,no,yes,,,Representation defined by the system,condition_occurrence,condition_source_concept_id + condition_concept_id,ICD-10-GM -> SNOMED,,DRAFT,
case.diagnosisOd.additionalDiagnoses[].system,string,yes,yes,,uri,Identity of the terminology system,condition_occurrence,condition_source_concept_id + condition_concept_id,ICD-10-GM -> SNOMED,,DRAFT,
case.diagnosisOd.additionalDiagnoses[].version,string,yes,yes,,,Version of the system - if relevant,condition_occurrence,condition_source_concept_id + condition_concept_id,ICD-10-GM -> SNOMED,,DRAFT,
case.diagnosisOd.diagnosticAssessment,string,no,no,"noGeneticDiagnosis, suspectedGeneticDiagnosis, furtherGeneticDiagnosticRecommended, confirmedGeneticDiagnosis, partialGeneticDiagnosis",,Evaluation of genetic diagnostics (only for HT).,,,,,TODO,
case.diagnosisOd.ecogPerformanceStatusScore,string,yes,no,"0, 1, 2, 3, 4, 5, unknown, notApplicable",,ECOG Performance Status Score,,,,,TODO,
case.diagnosisOd.germlineDiagnoses[].code,string,yes,yes,,,Symbol in syntax defined by the system,condition_occurrence,condition_source_concept_id + condition_concept_id,ICD-10-GM -> SNOMED,germline dx,DRAFT,
case.diagnosisOd.germlineDiagnoses[].display,string,no,yes,,,Representation defined by the system,condition_occurrence,condition_source_concept_id + condition_concept_id,ICD-10-GM -> SNOMED,germline dx,DRAFT,
case.diagnosisOd.germlineDiagnoses[].system,string,yes,yes,,uri,Identity of the terminology system,condition_occurrence,condition_source_concept_id + condition_concept_id,ICD-10-GM -> SNOMED,germline dx,DRAFT,
case.diagnosisOd.germlineDiagnoses[].version,string,yes,yes,,,Version of the system - if relevant,condition_occurrence,condition_source_concept_id + condition_concept_id,ICD-10-GM -> SNOMED,germline dx,DRAFT,
case.diagnosisOd.germlineDiagnosisConfirmed,boolean,yes,no,,,Indicates if a hereditary tumor syndrome diagnosis is confirmed.,,,,,TODO,
case.diagnosisOd.grading,string,no,no,"0, 1, 2, 3, 4, 5, X, L, M, H, B, U, T",,Differentiation grade,,,,,TODO,
case.diagnosisOd.histology.code,string,yes,no,,,Symbol in syntax defined by the system,,,,,TODO,
case.diagnosisOd.histology.display,string,no,no,,,Representation defined by the system,,,,,TODO,
case.diagnosisOd.histology.system,string,yes,no,,uri,Identity of the terminology system,,,,,TODO,
case.diagnosisOd.histology.version,string,yes,no,,,Version of the system - if relevant,,,,,TODO,
case.diagnosisOd.hpoTerms[].code,string,yes,yes,,,Symbol in syntax defined by the system,,,,,TODO,
case.diagnosisOd.hpoTerms[].display,string,no,yes,,,Representation defined by the system,,,,,TODO,
case.diagnosisOd.hpoTerms[].system,string,no,yes,,uri,Identity of the terminology system,,,,,TODO,
case.diagnosisOd.hpoTerms[].text,string,no,yes,,,,,,,,TODO,
case.diagnosisOd.hpoTerms[].version,string,no,yes,,,Version of the system - if relevant,,,,,TODO,
case.diagnosisOd.libraryType,string,yes,no,"panel, wes, wgs, wgs_lr, none",,"Art der Sequenzierung oder none, falls keine Sequenzierung indiziert",,,,,TODO,
case.diagnosisOd.mainDiagnosis.code,string,yes,no,,,Symbol in syntax defined by the system,condition_occurrence,condition_source_value/condition_source_concept_id + condition_concept_id,ICD-10-GM (source) -> SNOMED (standard),ICD-10-GM coding; .date -> condition_start_date,DRAFT,
