path,type,required,array,enum,format,description,omop_table,omop_field,omop_vocab,omop_transform,status,notes
case.diagnosisRd.diagnoses[].code,string,yes,yes,,,Symbol in syntax defined by the system,condition_occurrence,condition_source_concept_id + condition_concept_id,ORPHA/ICD-10-GM/Alpha-ID-SE (source) -> SNOMED (standard); VERIFY ORPHA vocab in OMOP,all-three coding; date -> condition_start_date,DRAFT,ORPHA NOT in Athena (confirmed 2026): local vocab >2bn + Usagi + SNOMED standard; long-tail loss; Alpha-ID-SE source-value only | [[omop-rare-disease-realworld]]
case.diagnosisRd.diagnoses[].display,string,no,yes,,,Representation defined by the system,condition_occurrence,condition_source_concept_id + condition_concept_id,ORPHA/ICD-10-GM/Alpha-ID-SE (source) -> SNOMED (standard); VERIFY ORPHA vocab in OMOP,all-three coding; date -> condition_start_date,DRAFT,ORPHA NOT in Athena (confirmed 2026): local vocab >2bn + Usagi + SNOMED standard; long-tail loss; Alpha-ID-SE source-value only | [[omop-rare-disease-realworld]]
case.diagnosisRd.diagnoses[].system,string,yes,yes,,uri,Identity of the terminology system,condition_occurrence,condition_source_concept_id + condition_concept_id,ORPHA/ICD-10-GM/Alpha-ID-SE (source) -> SNOMED (standard); VERIFY ORPHA vocab in OMOP,all-three coding; date -> condition_start_date,DRAFT,ORPHA NOT in Athena (confirmed 2026): local vocab >2bn + Usagi + SNOMED standard; long-tail loss; Alpha-ID-SE source-value only | [[omop-rare-disease-realworld]]
case.diagnosisRd.diagnoses[].version,string,yes,yes,,,Version of the system - if relevant,condition_occurrence,condition_source_concept_id + condition_concept_id,ORPHA/ICD-10-GM/Alpha-ID-SE (source) -> SNOMED (standard); VERIFY ORPHA vocab in OMOP,all-three coding; date -> condition_start_date,DRAFT,ORPHA NOT in Athena (confirmed 2026): local vocab >2bn + Usagi + SNOMED standard; long-tail loss; Alpha-ID-SE source-value only | [[omop-rare-disease-realworld]]
case.diagnosisRd.diagnosisGmfcs,string,no,no,"I, II, III, IV, V",,"Age-appropriate information, empty if not applicable",measurement,value_as_number/source,no OMOP GMFCS concept -> local,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30
case.diagnosisRd.diagnosticAssessment,string,yes,no,"noGeneticDiagnosis, suspectedGeneticDiagnosis, furtherGeneticDiagnosticRecommended, confirmedGeneticDiagnosis, partialGeneticDiagnosis",,Assessment of genetic diagnostics,observation,value_as_concept_id,verification status no clean OMOP home,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30
case.diagnosisRd.diagnosticExtent,string,yes,no,"singleGenome, duoGenome, trioGenome",,Diagnostics recommendation,fact_relationship,fact_relationship + local concept,single/duo/trio: no 'trio' concept,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30
case.diagnosisRd.libraryType,string,yes,no,"panel, wes, wgs, wgs_lr, none",,"Art der Sequenzierung oder none, falls keine Sequenzierung indiziert",procedure_occurrence,procedure_concept_id,SNOMED,the genomic test is a PROCEDURE,DRAFT,[[knowledge/omop]] research 2026-06-30 | GAP | [[omop-rare-disease-realworld]]
case.diagnosisRd.molecularBoardDecisionDate,string,yes,no,,date,Case conference date,episode,,episode (MTB/board),OMOP episode model,DRAFT,[[knowledge/omop]] research 2026-06-30
case.diagnosisRd.noMatchingCodeExists,boolean,no,no,,,Indicates whether a matching code exists.,condition_occurrence,,condition_source_value,no-matching-code -> source/data-absent,DRAFT,[[knowledge/omop]] research 2026-06-30
